"Provinsi","2016","2017","2018","2019","2020"
"Aceh","3.29","4.18","4.61","4.14","-0.37"
"Bali","6.33","5.56","6.31","5.6","-9.31"
"Banten","5.28","5.75","5.77","5.29","-3.38"
"Bengkulu","5.28","4.98","4.97","4.94","0.02"
"DI Yogyakarta","5.05","5.26","6.2","6.59","-2.69"
"DKI Jakarta","5.87","6.2","6.11","5.82","-2.36"
"Gorontalo","6.52","6.73","6.49","6.4","-0.02"
"Indonesia","5.03","5.07","5.17","5.02","-2.07"
"Jambi","4.37","4.6","4.69","4.37","-0.46"
"Jawa Barat","5.66","5.33","5.65","5.07","-2.44"
"Jawa Tengah","5.25","5.26","5.3","5.4","-2.65"
"Jawa Timur","5.57","5.46","5.47","5.52","-2.39"
"Kalimantan Barat","5.2","5.17","5.07","5.09","-1.82"
"Kalimantan Selatan","4.4","5.28","5.08","4.08","-1.81"
"Kalimantan Tengah","6.35","6.73","5.61","6.12","-1.4"
"Kalimantan Timur","-0.38","3.13","2.64","4.74","-2.85"
"Kalimantan Utara","3.55","6.8","5.36","6.9","-1.11"
"Kepulauan Bangka Belitung","4.1","4.47","4.45","3.32","-2.3"
"Kepulauan Riau","4.98","1.98","4.47","4.84","-3.8"
"Lampung","5.14","5.16","5.23","5.26","-1.67"
"Maluku","5.73","5.82","5.91","5.41","-0.92"
"Maluku Utara","5.77","7.67","7.86","6.1","4.92"
"Nusa Tenggara Barat","5.81","0.09","4.5","3.9","-0.64"
"Nusa Tenggara Timur","5.12","5.11","5.11","5.24","-0.83"
"Papua","9.14","4.64","7.32","15.75","2.32"
"Papua Barat","4.52","4.02","6.25","2.66","-0.77"
"Riau","2.18","2.66","2.35","2.81","-1.12"
"Sulawesi Barat","6.01","6.39","6.26","5.67","-2.42"
"Sulawesi Selatan","7.42","7.21","7.04","6.91","-0.7"
"Sulawesi Tengah","9.94","7.1","20.6","8.83","4.86"
"Sulawesi Tenggara","6.51","6.76","6.4","6.5","-0.65"
"Sulawesi Utara","6.16","6.31","6","5.65","-0.99"
"Sumatera Barat","5.27","5.3","5.14","5.01","-1.6"
"Sumatera Selatan","5.04","5.51","6.01","5.69","-0.11"
"Sumatera Utara","5.18","5.12","5.18","5.22","-1.07"
